"SETTLEMENT_SE_ACCOUNT_NUMBER","SETTLEMENT_ACCOUNT_NAME_CODE",SETTLEMENT_DATE,"SUBMISSION_SE_ACCOUNT_NUMBER",RECORD_CODE,ADJUSTMENT_RECORD_CODE,"SUPPORTING_REFERENCE_NUMBER",SETTLEMENT_GROSS_AMOUNT,"SETTLEMENT_DISCOUNT_AMOUNT",SETTLEMENT_NET_AMOUNT,SERVICE_FEE_RATE,SETTLEMENT_TAX_AMOUNT,SETTLEMENT_TAX_RATE,"CARD_MEMBER_ACCOUNT_NUMBER","ADJUSTMENT_RECORD_MESSAGE_CODE","ADJUSTMENT_MESSAGE_DESCRIPTION","SUBMISSION_SE_BRANCH_NUMBER",SUBMISSION_GROSS_AMOUNT,SUBMISSION_CURRENCY_CODE,"ADJUSTMENT_MESSAGE_REFERENCE",GENERATED_PAYMENT_NUMBER
9790000078,002,2013-06-21,9790000078,2,30,0,25832,-439,25349,1700,-44,10000,3778770000060.00,CBK0400174,"CREDIT FOR NO REPLY",,25832,AUD,0813530764464,"61f2162d-365c-352e-a4dd-f47f567b74af"
9790000069,002,2013-06-20,9790000069,2,30,250336,-1500,-1500,-1650,0,-150,0,0,ADJ9990023,"AMEX TERMINAL FEE",,-1500,AUD,,"1c53d609-55e7-344c-a4d9-1e80a36ebe8a"
9790000069,002,2013-06-20,9790000069,2,30,250336,-1500,-1500,-1650,0,-150,0,0,ADJ9990023,"AMEX TERMINAL FEE",,-1500,AUD,,"1c53d609-55e7-344c-a4d9-1e80a36ebe8a"
9790000069,002,2013-06-20,9790000069,2,30,250336,-1500,-1500,-1650,0,-150,0,0,ADJ9990023,"AMEX TERMINAL FEE",,-1500,AUD,,"1c53d609-55e7-344c-a4d9-1e80a36ebe8a"
9790000037,002,2013-06-21,9790000037,2,30,0,-27242,463,-26733,1700,46,10000,3778770000060.00,CBK0400020,"DEBIT FOR DUPLICATE CHARGE",,-27242,AUD,0812424936931,"ba2a7a91-50bb-383a-a984-887dc1b2b3e2"
9790000037,002,2013-06-21,9790000037,2,30,0,-27242,463,-26733,1700,46,10000,3778770000060.00,CBK0400456,"DEBIT FOR NO REPLY TO ENQUIRY",,-27242,AUD,0812424936909,"ba2a7a91-50bb-383a-a984-887dc1b2b3e2"
9790000037,002,2013-06-21,9790000037,2,30,0,-27242,463,-26733,1700,46,10000,3778770000040.07,CBK0400319,"INCORRECT CARDMEMBER DETAILS",,-27242,AUD,0812424936927,"ba2a7a91-50bb-383a-a984-887dc1b2b3e2"
9790000037,002,2013-06-21,9790000037,2,30,0,46869,-797,45992,1700,-80,10000,3778770000040.07,CBK0400174,"CREDIT FOR NO REPLY",,46869,AUD,0812423693316,"ba2a7a91-50bb-383a-a984-887dc1b2b3e2"
9790000037,002,2013-06-21,9790000037,2,30,0,27242,-463,26733,1700,-46,10000,3778770000040.07,CBK0400174,"CREDIT FOR NO REPLY",,27242,AUD,0812424936908,"ba2a7a91-50bb-383a-a984-887dc1b2b3e2"
9790000037,002,2013-06-21,9790000037,2,30,0,27242,-463,26733,1700,-46,10000,3778770000040.07,CBK0400174,"CREDIT FOR NO REPLY",,27242,AUD,0812424936908,"ba2a7a91-50bb-383a-a984-887dc1b2b3e2"
9790000068,002,2013-06-20,9790000068,2,30,250336,-1500,-1500,-1650,0,-150,0,0,ADJ9990023,"AMEX TERMINAL FEE",,-1500,AUD,,"d0364722-8265-32b1-87e8-c51a2de0e4d9"
9790000068,002,2013-06-20,9790000068,2,30,250336,-1500,-1500,-1650,0,-150,0,0,ADJ9990023,"AMEX TERMINAL FEE",,-1500,AUD,,"d0364722-8265-32b1-87e8-c51a2de0e4d9"
